Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Innovation Policy for the 21st Century: an integrative literature review of ‘mission-oriented’ and ‘transformative’ innovation policy,Joshua Whyatt,2023.0,Matthijs Janssen,,"In response to grand societal challenges such as climate change and inclusive and smart economic growth, a new era of Science, Technology and Innovation (STI) policy has given rise to several ‘challenge-led’ topics and diverse expressions. This thesis conducts an integrative literature review of two of these emerging topics- ‘Transformative Innovation Policy’ (TIP) and ‘Mission-Oriented Innovation Policy’ (MIP). To systematically study the respective properties of TIP and MIP, this study utilises insights from the Policy Sciences domain, engaging in a functional application of the Policy Cycle to investigate various aspects of the policy making process. The findings suggest several differences in the current TIP and MIP understanding, such as the topics’ emphasis on certain actors in different phases of the policy process and governance modes. This study provides a more nuanced understanding of innovation policy for the 21st century.",How do the concepts of Transformative Innovation Policy and Mission-Oriented Innovation Policy converge or diverge in their current understanding?,"9 - Industry, Innovation and Infrastructure",This SDG applies as the thesis focuses on innovation policy aimed at addressing societal challenges through technological and industrial advancements.,Global,Global/International,Governance & Policy,"transformative innovation policy, mission-oriented innovation policy, innovation policy, policy cycle, societal challenges",Literature-Based Research,Integrative Literature Review,Policy Cycle,,,,,,Broad,,whyatt_2023.pdf,whyatt_2023.png,Matched,Global,,
Psychedelics & Palliative Care A Comparative Analysis of Institutional Logics,Bauke Buurma,2023.0,Alexander Peine,,"The need for improved treatment options for those dealing with psychological suffering, such as end of life anxiety and depression is critical, particularly for healthcare systems such as palliative care which already tend to such patients. A promising new therapeutic treatment may be found in psychedelics such as LSD and psilocybin, which have already shown encouraging results in clinical trials dealing with such conditions. This paper conducts a qualitative inductive methodology to identify the multiple institutional logics present in both fields, explore the overlaps and tensions across fields, and suggest implications for policy makers and professionals. Results show an overlapping array of conflicting logics, with a strong presence of holistic logics and professional logics, as well as intra-domain tensions. A key finding is the presence of a psychedelic logic, which will be crucial in the legitimising process.","How do institutional logics manifest in the fields of palliative care and psychedelic therapy, and what are the implications for policy makers and professionals?",3 - Good Health and Well-Being,"This research addresses the need for improved mental health treatment options, particularly for individuals facing end-of-life psychological suffering, aligning with the goal of ensuring healthy lives and promoting well-being for all.",,Local,Health & Medicine,"psychedelics, palliative care, institutional logics, qualitative research, mental health",Qualitative Empirical Research,Interviews with specialists,Institutional Logics,,,,,,Broad,,buurma_2023.pdf,buurma_2023.png,Matched,,,
All at Sea: Accelerating the Sustainable Transition of International Shipping,Jakob Schiele,2021.0,Marko Hekkert,Simona Negro,"This thesis assesses the sustainable transition of international shipping and how it can be accelerated. Shipping is a hard-to-abate industry which is run unsustainably on a very polluting fossil fuel and accounts for as much CO2 emissions as aviation. A mixed-method approach is used, including literature analysis, semi-structured interviews with stakeholders, and historic event analysis. The findings reveal that the shipping regime is stable due to its complex structure and fossil fuel lock-in, with barriers inhibiting the adoption of alternative technologies. Solutions such as carbon pricing and regional governance can facilitate the transition.",How can the sustainable transition of international shipping be accelerated?,13 - Climate Action,"The thesis focuses on reducing greenhouse gas emissions from the shipping industry, which is crucial for addressing climate change.",Global,Global/International,Energy & Climate,"sustainable shipping, transition, hard-to-abate industries, alternative fuels, carbon pricing",Mixed Methods Research,"Literature review, Semi-structured interviews, historic event analysis","Socio-technical transitions, Multi-Level Perspective, Technological Innovation Systems",,,,,,Broad,Abstract too short,schiele_2021.pdf,schiele_2021.png,Matched,Global,,
The role of problem-solution convergence on ZEV adoption,Jan-Willem Potse,2021.0,Iris Wanzenböck,Joeri Wesseling,"The negative effects of fossil-fuel based road transport systems have become more apparent in recent years. Adopting vehicles that do not emit exhaust gases, namely Zero Emission Vehicles (ZEVs), can address these negative effects. Therefore, governments aim to increase ZEV adoption. In implementing the policy needed to do so, actors engage in discourse and framing to influence policy to suit their interests. This thesis aims to understand policy formation by studying the role and effects of framing in ZEV discourse in the United Kingdom and the Netherlands. A comparative study of policy developments in both countries reveals that convergence can help explain the rate of ZEV adoption in different contexts.",How does problem-solution convergence influence the adoption of Zero Emission Vehicles in the United Kingdom and the Netherlands?,11 - Sustainable Cities and Communities,"This SDG applies as the thesis addresses the adoption of Zero Emission Vehicles, which contribute to sustainable urban transport systems and reducing pollution in cities.","United Kingdom, Netherlands",National,Energy & Climate,"Zero Emission Vehicles, policy discourse, framing, convergence, adoption",Qualitative Empirical Research,"Discourse analysis, Interviews","Framing Theory, Problem-Solution Space",,,United Kingdom,54.702354,-3.276575,Country,,potse_2021.pdf,potse_2021.png,Matched,United Kingdom; Netherlands,54.702354|52.243498,-3.276575|5.634323
The legitimization of performance-enhancing equipment in sports: A case study on skinsuit implementation in Olympic sports,Woutertje Mes,2021.0,Jarno Hoekman,,"This research investigates the legitimization process of performance-enhancing equipment innovations in elite sports, focusing on skinsuits. The aim is to understand how strategic actions by users, producers, and institutional actors influence this legitimization. A comparative multiple case study design was employed, analyzing skinsuit usage in Skeleton, Cycling, and Swimming. The findings reveal that different timelines and actor interactions shape the legitimacy of these technologies, with cognitive legitimacy being the most influential in resolving contentions. The study contributes to the understanding of technological innovations in sports by integrating innovation and institutional perspectives.","How do strategic actions by users, producers and institutional actors influence the legitimization of performance-enhancing equipment in elite sports?","9 - Industry, Innovation and Infrastructure","The research addresses the role of technological innovations in enhancing performance in sports, which aligns with the goal of fostering innovation and sustainable industrialization.",Global,Global/International,Governance & Policy,"Skinsuit, Performance-enhancing equipment, Legitimization, Olympic sports, Strategic Action Field theory",Qualitative Empirical Research,"Comparative multiple case study, Data analysis, Open coding","Strategic Action Field Theory, Institutional Theory",,"International Bobsleigh, Skeleton Federation, Fédération International De Natation, Union Cycliste Internationale",,,,Broad,Abstract too short,mes_2021.pdf,mes_2021.png,Matched,Global,,
Emerging Institutions in the Global Space Sector An Institutional Logics Approach,Sanja Lisa Bandau,2021.0,Xiao-Shan Yap,Bernhard Truffer,"The outer space sector is currently going through major transformation characterized by geopolitical interests and tensions. This study aims to identify the emerging institutions of the global Space sector, including both formal and informal institutions, and how they influence sectoral development. Using a socio-technical configuration analysis based on discourses in newspaper articles and government documents, the research covers two contrasting cases: Earth Observation and Navigation services. The findings reveal significant differences in value orientations among actors, affecting international collaboration patterns and the potential for sustainable development.",How can the current global Space sector overcome conflicting values to successfully transition towards accelerating sustainable development?,"9 - Industry, Innovation and Infrastructure",The study addresses the transformation of the Space sector and its potential to support sustainable development through innovation and collaboration.,Global,Global/International,Governance & Policy,,Qualitative Empirical Research,Socio-technical configuration analysis,Institutional Logics,,,,,,Broad,Abstract too short,bandau_2021.pdf,bandau_2021.png,Matched,Global,,
"Public opinion on nuclear energy in Europe, 1970 - 2018",Max Schmal,2021.0,Koen Frenken,,"This thesis examines public opinion on nuclear energy in three European countries: The Netherlands, The United Kingdom, and Denmark from 1970 to 2018. The aim is to understand the divergence in willingness to produce nuclear energy among member states. The methodology involves analyzing public opinion in relation to risks, costs, and benefits of nuclear power. Findings indicate that adverse nuclear events significantly influence public opinion, particularly in countries with lower adoption of nuclear energy, explaining the opposition of the Danish and Dutch governments to nuclear energy compared to the United Kingdom.",What explains the differences in public opinion on nuclear energy over time and across countries?,7 - Affordable and Clean Energy,"The research addresses public opinion on nuclear energy, which is a critical component of the energy transition towards sustainable and clean energy sources.",Europe,Regional,Energy & Climate,,Qualitative Empirical Research,"Sentiment analysis, Regression",Public Acceptance,,,,,,Broad,Abstract too short,schmal_2021.pdf,schmal_2021.png,Matched,Europe,,
Boundary-work in the Age of Post-Truth,Sebastiano Corrà,2021.0,Dr. Koen Beumer,,"This thesis analyzes the demarcation efforts of the scientific community in response to the rise of post-truth, particularly during the March for Science protests in 2017. The objective is to understand how scientists characterize their work and establish boundaries against post-truth narratives. Using a constructivist perspective and a boundary-work framework, data was collected from signs and banners at the protests. Findings reveal that science is portrayed as objective, engaged, and beneficial, with these attributes employed to expel post-truth influences from legitimate epistemology. The research highlights the complexities of boundary-work in maintaining the authority of science in a post-truth era.",How does the scientific community attempt to demarcate itself from post-truth practices through the boundary-work of scientific activists displayed during the March for Science protests?,4 - Quality Education,This SDG applies as the thesis emphasizes the importance of scientific knowledge and education in combating misinformation and promoting informed decision-making in society.,United States,National,Governance & Policy,"boundary-work, post-truth, March for Science, scientific authority, demarcation",Qualitative Empirical Research,Content analysis,Boundary-Work Framework,,,Washington D.C.,39.78373,-100.445882,City,Abstract too short,corra_2021.pdf,corra_2021.png,Matched,United States,39.78373,-100.445882
"The potential of carbon capture, utilization and storage (CCUS) to decarbonize the industry sector in Europe: A multidisciplinary three-country comparison",Tom Bosman,2021.0,Wolfgang Eichhammer,Sanne Akerboom,"This research investigates the role of Carbon Capture, Utilization and Storage (CCUS) in decarbonizing the industrial sector across three European countries: France, Spain, and the Netherlands. The study employs a qualitative research design, utilizing desk research and nine interviews with industry experts. Findings reveal varying degrees of alignment between policy mixes, technical potential, and socio-political acceptance in each country. France shows weak alignment due to a lack of industrial CCU goals, while Spain demonstrates medium to strong alignment. The Netherlands exhibits strong alignment across all perspectives, indicating a significant potential for CCUS in its decarbonization strategy.",What role could CCUS play for European countries to decarbonize the industry sector?,13 - Climate Action,"The research addresses the urgent need to reduce greenhouse gas emissions in the industrial sector, contributing to climate change mitigation efforts.",Europe,Regional,Energy & Climate,"Carbon Capture, Utilization and Storage, CCUS, Decarbonisation, industrial sector, policy mix, socio-political acceptance",Qualitative Empirical Research,"Desk research, Semi-structured interviews","Policy mix framework, Technology acceptance framework",Fraunhofer ISI,,Europe,,,Broad,Abstract too short,bosman_2021.pdf,bosman_2021.png,Matched,Europe,,
Public Values and Modern Biotechnology in the Dutch Patent System,Martine van den Boomgaard,2021.0,Frank van Rijnsoever,,"In this study I explored the dynamics of modern biotechnology and the Dutch patent system. The study evaluates how the patent system in the future stimulates biotechnological innovations that are in line with public values. The qualitative abductive approach of this study consisted of two rounds of interviews and a document analysis, conducting a multiple-case study of Recombinant-DNA & PCR and CRISPR technologies. Findings indicate that the Dutch patent system for a large part stimulate biotechnological innovations that are in line with public values. However, current and future technologies in the breeding sector provide several challenges in ensuring wide access to patents on these innovations.",How does the Dutch patent system contribute to biotechnological innovations that align with public values?,2 - Zero Hunger,"The study focuses on biotechnological innovations that can enhance food security and sustainability, which directly relates to the goal of achieving zero hunger.",Netherlands,National,Energy & Climate,,Qualitative Empirical Research,"Interviews, Document analysis, Multiple case study",Public value failure theory,Rathenau Institute,,Netherlands,52.243498,5.634323,Country,,boomgaard_2021.pdf,boomgaard_2021.png,Matched,Netherlands,52.243498,5.634323
Intellectual property strategies in the age of artificial intelligence,Frank van Cappellen,2021.0,Giovanna Capponi,,"This thesis investigates the intellectual property strategies utilized by artificial intelligence start- and scale-ups. The aim is to understand how these strategies are influenced by innovation and market factors. The research employs a qualitative methodology, conducting nine semi-structured interviews with CEOs and intellectual property advisors. The findings reveal that while secrecy is the most prevalent strategy, it is challenged by open-source motivations. Additionally, the relevance of lead-times and database rights is highlighted, with recommendations for policymakers to clarify legislative definitions. This study contributes to the understanding of intellectual property in the context of artificial intelligence.","What intellectual property strategies are utilized by artificial intelligence start- and scale-ups, and how are these strategies influenced by innovation and market factors?","9 - Industry, Innovation and Infrastructure","The research focuses on innovation strategies within the artificial intelligence sector, which is crucial for developing sustainable industrial practices and fostering innovation.",Global,Global/International,Governance & Policy,"intellectual property, artificial intelligence, start-ups, scale-ups, Innovation",Qualitative Empirical Research,"Semi-structured interviews, Thematic analysis",,,,,,,Broad,Abstract too short,cappellen_2021.pdf,cappellen_2021.png,Matched,Global,,
Understanding the place-specific formation processes of sustainable urban experiments,"Marius Roeterdink, BSc",2021.0,Dr. J. Hoekman,Dr. ir. J.C.L Torrens,"Cities are increasingly recognized as frontrunners in the transition to a more sustainable society due to their assembly of technology, resources, population, culture, and economics. This study aims to understand the place-specific factors influencing the formation of global sustainable urban experiments, using Formula E as a case study. A mixed method comparative case study was conducted across sixteen cities hosting Formula E events, combining qualitative desk research and quantitative indicators. Findings reveal considerable local variation in the formation processes characterized by protection, connectivity, and conflict, highlighting the role of local context in shaping sustainable urban experiments.","How do place-specific factors shape the processes of protection, connectivity and conflict in the formation of Formula E?",11 - Sustainable Cities and Communities,"The study focuses on sustainable urban experiments and their formation processes, which directly relate to the development of sustainable cities and communities.",Global,Global/International,Urban & Regional Development,"sustainable urban experiments, Formula E, place-specific factors, protection, connectivity, conflict",Mixed Methods Research,"Comparative case study, Desk research, quantitative indicators","Strategic Niche Management, Geography of Sustainable Transitions",,Formula E,,,,Broad,Abstract too short,roeterdink_2021.pdf,roeterdink_2021.png,Matched,Global,,
Operationalizing Regional Mission-Oriented Innovation Policy,Pepijn Heuberger,2021.0,G.J. Heimeriks,,"Developments in the last decade of innovation policy show a trend that moves away from generic economic growth towards solving specific grand societal challenges as its rationale. On the other hand, there is increasing consensus that regional (or local) contexts should be taken into account when designing innovation policies. This presents a challenge, as regions do not know how they can contribute to societal challenges that transcend their own geographical scale. In this thesis, a framework is developed that aims to identify regional strengths and weaknesses to contribute to larger scale mission-oriented innovation policy. This is done by bringing together two broad literature streams (MIP and RIS). Part of the framework is put to the test in three case studies.",How can regions contribute to large-scale mission-oriented innovation policy?,13 - Climate Action,"The thesis focuses on the contribution of regions to achieving a CO2-free electricity system by 2050, aligning with the goals of climate action.",Netherlands,Regional,Energy & Climate,,Mixed Methods Research,Case study,,TNO,,Netherlands,52.243498,5.634323,Country,,heuberger_2021.pdf,heuberger_2021.png,Matched,Netherlands,52.243498,5.634323
From Invention to Innovation: An Institutional Perspective on AI Developments in the Haemato-Oncological Field,"Korstanje, J.P. (Pommeline)",2021.0,Giovanna Capponi,Wouter Boon,"Unravelling cell characteristics is key for the accurate diagnosis and treatment of haemato-oncological diseases. Major advancements in the field have led to high-throughput single-cell technologies, providing large and multidimensional datasets. Detecting the relevant information in these datasets remains a challenge, however. Artificial intelligence (AI) can support the human capability and can thereby prove to be the next step in improving patient survival rates. This research examines whether the haemato-oncological field offers an enabling environment for institutional entrepreneurship to occur in the context of AI technologies. The study identifies four technological prerequisites for bridging the invention-innovation gap and highlights the need for standardization and social positioning within the field.",Does the haemato-oncological field offer an enabling environment for institutional entrepreneurship to occur in the context of AI technologies?,3 - Good Health and Well-Being,This SDG applies as the research focuses on improving patient survival rates through advancements in AI technologies in the medical field.,Global,Global/International,Health & Medicine,"haemato-oncology, artificial intelligence, institutional entrepreneurship, Innovation, NASSS framework",Qualitative Empirical Research,"Semi-structured interviews, Case study","Institutional Entrepreneurship, NASSS Framework",FlowView Diagnostics,,,,,Broad,,jp_2021.pdf,jp_2021.png,Matched,Global,,
Accelerating the protein transition: understanding the drivers and barriers which Dutch SME meat incumbents face when transitioning to plant-based proteins.,Oscar Jones,2021.0,Koen Beumer,,"Increasing global meat consumption patterns are leading to a surge in greenhouse gasses resulting in global warming. As one of the largest exporters of meat globally, the Netherlands provides a significant contribution to the annual emitted greenhouse gasses. This research looks to understand the way in which these incumbent meat producers undergo organisational change towards plant-based proteins and aims to understand the drivers and barriers they may encounter. The findings show that due to the inherent small size of SMEs they are able to quickly initiate organisational change when led by a motivated management team. However, the small scale of the business also leads to issues with the clear operationalisation of their novel strategy.","How do Dutch SME meat incumbents undergo organisational change towards plant-based proteins, and what drivers and barriers do they face?",12 - Responsible Consumption and Production,"The research addresses the need for sustainable alternatives in the meat industry, focusing on the transition to plant-based proteins to reduce greenhouse gas emissions.",Netherlands,National,Circular Economy & Production,,Qualitative Empirical Research,"Case study, Historical event analysis",Maon et al.’s organisational change framework,,Bolscher more than meat,Netherlands,52.243498,5.634323,Country,,jones_2021.pdf,jones_2021.png,Matched,Netherlands,52.243498,5.634323
