Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
The Impact of Education and Environmental Awareness on Mental Model Complexity: A Comparative Study of Dutch Young Adults' and Ocean Experts' Perceptions of Quality of Life in the Ocean.,Floor van der Kolk,2023.0,Karlijn van den Broek,Gabriela Matias de Pinho,"This study examines the complexity of mental models (MMs) concerning the quality of life (QOL) in the ocean among young adults in the Netherlands and compares these with those of ocean experts. The research aims to understand how educational levels and environmental awareness influence the complexity of these MMs. Using the M-Tool for mapping and a follow-up survey, two primary sample groups were analysed: young adults and ocean experts. Results indicate that both young adults and experts identify similar key drivers affecting ocean QOL, such as humanity and climate change. However, experts emphasise additional factors like marine habitats and biodiversity, which young adults tend to overlook. The complexity of MMs was notably higher among experts, supporting the hypothesis that experts possess a more nuanced understanding of the systemic interactions influencing ocean QOL.",What are the characteristics of the mental models of young adults and ocean experts concerning the quality of life in the ocean?,14 - Life Below Water,"The study focuses on the quality of life in the ocean, highlighting the importance of understanding and addressing environmental issues related to marine ecosystems.",Netherlands,Local,Ecology & Biodiversity,"Mental Models, Quality of Life, Environmental Awareness, Education, Ocean Experts",Qualitative Empirical Research,"M-Tool for mapping, Survey",,,,Netherlands,52.243498,5.634323,Country,kolk_2023.pdf,kolk_2023.png,Matched,Netherlands,52.243498,5.634323
Examining Energy Justice in Dutch Sustainability Policy using Policy Theory Analysis,Bill Gresnigt,2025.0,Dr. Peter Mulder,,"This thesis examines the integration of energy justice principles in Dutch sustainability policy, focusing on the distribution of costs and benefits associated with energy policies. The aim is to analyze how these policies impact different income groups and marginalized communities. Using policy theory analysis, the research identifies gaps in the consideration of distributive justice and recognition justice within existing policies. Findings indicate that lower-income households face barriers in accessing energy-saving measures, and that current policies often overlook their needs. Recommendations for improving stakeholder engagement and policy transparency are provided to promote a more equitable energy transition.",How is Dutch energy policy shaped by energy justice principles?,7 - Affordable and Clean Energy,This SDG applies as the thesis focuses on ensuring equitable access to energy resources and addressing the social impacts of energy policies on marginalized groups.,Netherlands,National,Energy & Climate,"energy justice, sustainability policy, distributive justice, recognition justice, Netherlands",Qualitative Empirical Research,Policy theory analysis,Energy Justice,,,Netherlands,52.243498,5.634323,Country,gresnigt_2025.pdf,gresnigt_2025.png,Matched,Netherlands,52.243498,5.634323
Exploring the energy burden disparity across Dutch income groups: A historical perspective,B.N. Venhuizen,2025.0,Peter Mulder,Javanshir Fouladvand,"In the Netherlands, rising energy prices have raised concerns about energy affordability and inequality among Dutch households in recent years. This study investigates how energy burdens (EBs) evolved between 2006 and 2023 and how energy prices, consumption, income, and the energy mix contributed to changes across income groups. Using detailed microdata from Statistics Netherlands, households were classified into four income groups, and EB trends were examined longitudinally. Results show that median EBs declined until 2017, after which they rose again due to sharp energy price increases, with low-income households facing persistently higher EBs. This study provides valuable insight into the evolution of energy affordability and inequality in the Netherlands.",How have energy burdens evolved across different income groups in the Netherlands from 2006 to 2023?,7 - Affordable and Clean Energy,"This SDG applies as the study focuses on energy affordability and the disparities in energy burdens among different income groups, highlighting the need for inclusive energy policies.",Netherlands,National,Energy & Climate,"Energy Burden, Income Groups, Energy Affordability, Netherlands, Energy Prices",Quantitative Empirical Research,"Longitudinal analysis, Log-Mean-Divisia Index decomposition",,TNO,,Netherlands,52.243498,5.634323,Country,venhuizen_2025.pdf,venhuizen_2025.png,Matched,Netherlands,52.243498,5.634323
Navigating the PFAS Phase-Out in the Outdoor Apparel Industry,Andrea Bocard Colomé,2023.0,Bernhard Truffer,Adriaan van der Loos,"This thesis explores the phase-out of PFAS in the outdoor apparel industry, aiming to understand the socio-technical dynamics involved. The research employs a mixed methodology, including desk research and interviews, to analyze the evolution of PFAS awareness and regulatory responses from 2009 to 2025. Key findings reveal significant actor realignment and innovation scaling, highlighting the industry's response to regulatory momentum and the consolidation of practices around PFAS alternatives.",How is the outdoor apparel industry navigating the phase-out of PFAS?,12 - Responsible Consumption and Production,"The research addresses the need for sustainable practices in the apparel industry, particularly in reducing harmful substances like PFAS, aligning with responsible consumption and production goals.",Global,Global/International,Circular Economy & Production,"PFAS, outdoor apparel, phase-out, Sustainability, socio-technical analysis",Mixed Methods Research,"Desk research, Socio-Technical Configuration Analysis, Interviews",,,,,,,Broad,colom_2023.pdf,colom_2023.png,Matched,Global,,
Exploring the Influence of University Support on the Performance of Student-Led Social Enterprises: A Quantitative Study of Enactus Europe,Hanna Schutter,2025.0,"Frank van Rijnsoever, Christina Bidmon",,"This thesis explores the influence of university support on the performance of student-led social enterprises, specifically focusing on Enactus Europe. The aim is to quantitatively assess how various forms of support, such as funding, training, and mentorship, impact the performance of these enterprises. A structured methodology involving data collection and regression analysis is employed to evaluate the relationship between university support and social enterprise performance. The findings indicate that university support significantly enhances both financial and social impact performance of student-led initiatives.",How does university support influence the performance of student-led social enterprises in Enactus Europe?,8 - Decent Work and Economic Growth,"This SDG applies as the research focuses on enhancing the performance of social enterprises, which contribute to economic growth and job creation.",Europe,Regional,Social Justice & Equity,"Social Enterprises, University Support, Enactus, Performance, Quantitative Study",Quantitative Empirical Research,Regression analysis,"Social Entrepreneurship Theory, Resource-Based View",,Enactus Europe,Europe,54.526,15.2551,Broad,schutter_2025.pdf,schutter_2025.png,Matched,Europe,,
Towards a CO -free Electricity System: Analysis of the Dutch Mission-oriented Innovation System for a CO -free Electricity System,Lilly Hofman,2025.0,Joeri Wesseling,,"The transition to a CO -free electricity system represents is an important objective of Dutch and European climate policy, aimed at reducing climate change and ensuring energy security. To support this, the Multiannual Mission-driven Innovation Programme 2 (MMIP2) was established, focusing on the mission of a Dutch CO -free electricity system on land by 2050. However, this mission involves a wicked challenge that goes beyond technological innovation. The Mission-oriented Innovation System (MIS) approach offers a framework to study this mission-driven transformation but lacks practical tools to assess reflexive governance. By following the MIS approach combined with MEL, the research question was answered: ""To what extent are the systemic barriers of the Mission-oriented Innovation System – around the Dutch mission of CO -free electricity system defined in MMIP2 – adequately targeted by governance actions and what changes in governance actions and reflexive governance are necessary?"" A qualitative research design was used, combining desk research with 22 semi-structured stakeholder interviews and a follow-up survey. The research reveals four systemic barriers and presents practical policy recommendations.",To what extent are the systemic barriers of the Mission-oriented Innovation System – around the Dutch mission of CO -free electricity system defined in MMIP2 – adequately targeted by governance actions and what changes in governance actions and reflexive governance are necessary?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on achieving a CO -free electricity system, which is essential for sustainable energy production and consumption.",Netherlands,National,Energy & Climate,,Qualitative Empirical Research,"Desk research, Semi-structured interviews, Survey",Mission-oriented Innovation Systems,,,Netherlands,52.243498,5.634323,Country,hofman_2025.pdf,hofman_2025.png,Matched,Netherlands,52.243498,5.634323
From protocol to practice Community organizing for fair Access and Benefit-Sharing under the Nagoya Protocol Case study research of communities active in the exchange of genetic resources,Frank Peters,2025.0,Koen Beumer,Jarno Hoekman,"This research explores how communities organize for a just transition under the Nagoya Protocol, which mandates fair Access and Benefit-Sharing (ABS) of genetic resources. The study identifies opportunities and barriers faced by communities in organizing themselves. Using institutional entrepreneurship theory, the research analyzes data from desk research and twenty-one interviews across six countries. Findings reveal six distinct types of community organizing, highlighting the roles of external actors and self-organization. Challenges include resource limitations and trust-building, while opportunities arise from increased recognition of community knowledge. This study contributes to the literature on ABS and community organizing, offering insights for stakeholders involved in genetic resource exchanges.",How do communities organize for just transitions in light of the Nagoya Protocol and the exchange of genetic resources when using strategies of institutional entrepreneurship?,"16 - Peace, Justice and Strong Institutions","The research addresses issues of justice and equity in the context of community organizing for Access and Benefit-Sharing under the Nagoya Protocol, aiming to empower communities and ensure fair treatment.",Global,Global/International,Social Justice & Equity,"Access and benefit sharing, Biopiracy, Community organizing, Genetic resources, Institutional entrepreneurship, Just transitions, Nagoya Protocol, Traditional knowledge",Qualitative Empirical Research,"Desk research, Semi-structured interviews",Institutional Entrepreneurship,,,,,,Broad,peters_2025.pdf,peters_2025.png,Matched,Global,,
Policy implications for the EU in balancing technological sovereignty and environmental sustainability in development of water desalination technologies,Teun Verhagen,2025.0,J. van der Pol,,"Water scarcity is a global challenge that is expected to intensify in the coming decades due to population growth, urbanization, and climate change. Desalination, the process of removing salt from seawater or brackish water, is a potential solution to address this challenge. However, desalination technologies can have significant environmental impacts, such as energy consumption and brine discharge. This research explored the policy implications for the European Union (EU) in balancing technological sovereignty and environmental sustainability in desalination technology development. The study focused on five desalination technologies: Reverse Osmosis (RO), Multi-Stage Flash Distillation (MSF), Multi-Effect Distillation (MED), Nano Filtration (NF), and Electrodialysis (ED). The research aims to answer the main question: “What are the policy implications for the EU in balancing technological sovereignty and environmental sustainability in desalination technology development?”",What are the policy implications for the EU in balancing technological sovereignty and environmental sustainability in desalination technology development?,6 - Clean Water and Sanitation,This SDG applies as the research addresses water scarcity and the development of sustainable desalination technologies to ensure access to clean water.,European Union,Regional,Governance & Policy,,Mixed Methods Research,"Literature review, patent network analysis, Expert interviews",,,,European Union,50.0,10.0,Broad,verhagen_2025.pdf,verhagen_2025.png,Matched,Europe,,
To what extent do ties to different types of network partners influence the success of renewable energy cooperatives in the Netherlands?,Rens Sebastiaan Grim,2025.0,Dr. Matthijs Punt,Dr. Toon Meelen,"The emerge and scaling of renewable energy cooperatives play a pivotal role in the transition to renewable energy. Previous research identified network partners as essential in overcoming barriers for renewable energy cooperatives in their emerging and scaling phase. However, previous studies have mainly examined network partners in isolation. This study brought multiple partners together, aiming to explore the partner networks of Dutch RECs to analyse which actors in these networks contribute to their success. Furthermore, it focussed on identifying dimensions of success, examining which network partners are key in achieving success, and determining which network partners influence specific dimensions of success. The result of this study showed that intermediaries, and community organisation are strongest related with RECs’ success. Municipalities and energy companies positively influence member size and replication. In contrast, financial institutions, higher-level government bodies, and knowledge institutes appear to have little to no influence on the success of RECs.",To what extent do ties to different types of network partners influence the success of renewable energy cooperatives in the Netherlands?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on renewable energy cooperatives, which are essential for the transition to sustainable energy sources.",Netherlands,National,Energy & Climate,"Renewable Energy, Cooperatives, Network Partners, Success Factors",Qualitative Empirical Research,Case study,Strategic Niche Management,,,Netherlands,52.243498,5.634323,Country,grim_2025.pdf,grim_2025.png,Matched,Netherlands,52.243498,5.634323
Closing the Loop in Fashion: Life Cycle Assessment of Second-Hand Clothes and the Influence of Consumer Behaviour,Jia Qi Hu,2025.0,"Dr. Adriaan van der Loos, Dr. Vivian Tunn, Michał Bączyk MSc",Dr. Blanca Corona Bellostas,"This study investigates the environmental impacts of second-hand clothing compared to brand-new clothing, integrating consumer behaviour into the Life Cycle Assessment (LCA) of t-shirt and trousers. Drawing on survey data from Dutch consumers, the research investigates how consumer habits and rebound effects influence the environmental assessment of second-hand clothes. A circular economy framework for the comprehensive mapping of the use phase was adapted and applied to inform the LCA. The LCA results show that second-hand clothes generally have lower environmental impacts than brand-new clothes due to the avoided production impacts. However, the extent to which the environmental impacts of second-hand clothes decrease in comparison to brand-new clothes depends on factors such as the functional unit definition, garment lifespan, use frequency, and the displacement rate.",How do consumer habits and rebound effects influence the environmental assessment of second-hand clothes compared to brand-new clothing?,12 - Responsible Consumption and Production,"This study addresses the environmental impacts of clothing consumption and promotes the reuse of second-hand clothes, aligning with sustainable consumption practices.",Netherlands,Local,Circular Economy & Production,"Life Cycle Assessment, Second-Hand Clothes, Consumer Behaviour, Circular Economy","Literature-Based Research, Qualitative Empirical Research","Survey, Life Cycle Assessment",Circular Economy,,,Netherlands,52.243498,5.634323,Country,hu_2025.pdf,hu_2025.png,Matched,Netherlands,52.243498,5.634323
Dynamic changes in the PFAS phase-out and substitution process in China’s cosmetics industry,Longfei Shen,2023.0,Bernhard Truffer,Jarno Hoekman,"This paper studies the dynamic changes in the phase-out process of per- and polyfluoroalkyl substances (PFAS) in China's cosmetics industry. This study focuses on how the regulatory framework, technological development and consumer pressure interact to promote or hinder this transition. This research combines the theory of technological innovation system and the theory of institutional logic to analyze the institutional driving factors, obstacles and institutional evolution of the replacement of technological innovation system. The results show that the phasing out of PFAS has gone through three stages, driven by regulatory pressure, collaborative expansion, and market transition. The study provides insights into designing adaptive strategies and accelerating the elimination of PFAS in China's cosmetics industry.","How do the regulatory framework, technological development, and consumer pressure interact to promote or hinder the phase-out of PFAS in China's cosmetics industry?",12 - Responsible Consumption and Production,"The study addresses the phase-out of harmful substances in cosmetics, aligning with the goal of ensuring sustainable consumption and production patterns.",China,National,Circular Economy & Production,"PFAS, cosmetics, phase-out, substitution, Technological Innovation Systems, institutional logic",Qualitative Empirical Research,"Socio-Technical Configuration Analysis, Media analysis, actor-concept network analysis, Document analysis","Technological Innovation Systems, Institutional Logics",,,China,35.000074,104.999927,Country,shen_2023.pdf,shen_2023.png,Matched,China,35.000074,104.999927
Toward a Sustainable TV Industry: Measuring the Carbon Footprint Across a Production’s Life Cycle,Francisca Nunes de Almeida Martins,2023.0,Iris Groenhout,Dr. Jarno Hoekman,"Despite having a substantial environmental impact, the carbon footprint of the television industry has remained largely unexplored. This thesis addresses this gap by developing a comprehensive, open-source carbon calculator, designed to capture emissions across all stages of a production’s life cycle and to identify key emission drivers and potential reduction pathways. The model was applied to three television programs within the Nederlandse Publieke Omroep (NPO), delivering the first life cycle carbon footprint analysis of the television industry. Results revealed that a television show’s carbon footprint ranged from 251 to 374 tones of CO₂e per season, with production and distribution being the most carbon-intensive stages. The findings highlight the need for a national, standardized life cycle tool to better equip the industry to mitigate emissions.",How can the carbon footprint of television production be measured and reduced across its life cycle?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on measuring and reducing the carbon footprint of television production, promoting sustainable practices within the industry.",Netherlands,National,Circular Economy & Production,"carbon footprint, television production, Life Cycle Assessment, emissions reduction, Sustainability",Mixed Methods Research,"Case study, Scenario analysis",,Nederlandse Publieke Omroep,"NTR, BNNVARA, KRO-NCRV",Netherlands,52.243498,5.634323,Country,martins_2023.pdf,martins_2023.png,Matched,Netherlands,52.243498,5.634323
The dynamic environment of Sustainable tourism in the Northern Circuit of Tanzania: a Stakeholder and Policy perspective,Lucas van Wijngaarden,2023.0,Brian Dermody,Jeroen Oomen,"This thesis explores how stakeholder groups perceive the social, environmental, and economic impacts of tourism in the Northern Tourism Circuit (NTC) of Tanzania and examines the role of institutions in shaping sustainable tourism in the region. The research adopts a qualitative methodology, based on 18 semi-structured interviews with key stakeholders, including tour operators, local communities, NGOs, conservation authorities, and tourists. Findings show that stakeholders recognized tourism’s economic value but highlighted inequitable benefit distribution, low wages, economic leakage, and corruption as major barriers to local development. Environmental concerns included overcrowded parks, habitat loss, waste, and climate change, with some positive initiatives acknowledged. The research concludes that power imbalances, institutional fragility, and corruption are key barriers to sustainable tourism and that it requires institutional reform, transparent benefit sharing, and meaningful stakeholder participation.","What are the narratives of stakeholder groups regarding social, environmental and economic impact made by tourism in the Northern Tourism Circuit of Tanzania and how do these narratives interact?",8 - Decent Work and Economic Growth,"The research highlights the need for equitable benefit distribution and improved working conditions for local communities involved in tourism, which aligns with promoting sustained economic growth and decent work.","Northern Circuit, Tanzania",Local,Social Justice & Equity,"Sustainable tourism, stakeholder perspectives, Northern Tourism Circuit, Tanzania, qualitative research, institutional analysis",Qualitative Empirical Research,Semi-structured interviews,"Socio-Ecological Systems, Stakeholder Theory",Better Places,"Tanzania National Park Authority, Tanzania Wildlife Authority, Kilimanjaro Porters Association, Tanzania Women Guides Foundation",Tanzania,-6.369,34.8888,Country,wijngaarden_2023.pdf,wijngaarden_2023.png,Matched,Tanzania,-6.369,34.8888
