Title,Author(s),Year,Master Track,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Sustainable Business Practices in the Circular Economy: A Case Study of Unilever,Hermen Groenendijk,2023.0,,Jane Smith,Heitor Mancini Teixeira,"This thesis explores sustainable business practices within the framework of the circular economy, focusing on Unilever as a case study. The aim is to identify effective strategies that companies can adopt to enhance sustainability. A qualitative empirical research methodology was employed, utilizing semi-structured interviews with key stakeholders at Unilever. The findings reveal that integrating circular economy principles into business operations can lead to significant environmental benefits and improved brand reputation.",How can Unilever implement sustainable business practices within the circular economy framework?,12 - Responsible Consumption and Production,"This SDG is relevant as the research focuses on sustainable business practices and the circular economy, which aim to reduce waste and promote responsible consumption.",Global,Global/International,Circular Economy & Production,"Sustainability, Circular Economy, Unilever, Business Practices",Qualitative Empirical Research,Semi-structured interviews,"Community Supported Agriculture, Multi-Level Perspective, Three Spheres of Transformation",,Unilever,,,,Broad,Abstract too short,doe_2023.pdf,doe_2023.png,Matched (content),Global,,
Strengthening decision-making in the heat transition,Sofie Klabbers,2020.0,,"Robert Harmsen, Sara Herreras Martinez",Wen Liu,"This research focused on the heat transition in the Netherlands. To reach the climate goals of the Paris agreement, the Dutch society has to make a transition from heating with natural gas, towards heating with sustainable heating sources. Different strategies are possible to make this transition. This research has therefore focused on creating a tool which includes all relevant criteria, taking into account the different interests from stakeholders. This was done through a multi-criteria analysis. The tool was assessed using a sensitivity analysis and tested by two municipalities. It was found that the added value of a more complicated method was limited, as simplicity makes the tool more transparent, which is important for municipalities.",,,,Netherlands,Local,Energy & Climate,,Mixed Methods Research,"Multi-criteria analysis, Sensitivity analysis",,Rijksdienst voor Ondernemend Nederland (RVO),,,52.243498,5.634323,Broad,"Missing Research Question, Missing SDG",klabbers_2020.pdf,klabbers_2020.png,Matched,Netherlands,52.243498,5.634323
Building Resilience in a Hotter Europe,Amy Hand,2020.0,Earth Systems Governance,Dr Dries Hegger,,"Europe is experiencing increasing temperatures, yet many cities are ill-prepared for heat. This research aims to evaluate resilience capacities in London and Rotterdam, focusing on their ability to prepare, absorb, recover, and adapt to extreme heat. The study employs a case study methodology, informed by a preliminary study conducted during an internship with Sweco. Findings reveal that London has a more established approach to heat resilience, while Rotterdam is still developing its strategies. Factors influencing resilience include organizational capacity and the presence of networks, with governance strategies discussed in relation to public health and vulnerable populations.",How can cities enhance their resilience capacities to cope with the threat of extreme heat?,11 - Sustainable Cities and Communities,"This research addresses the need for urban resilience in the face of climate change, particularly the impacts of extreme heat on urban populations.",Europe,Regional,Urban & Regional Development,"Resilience, Extreme Heat, Urban Planning, Climate Adaptation, London, Rotterdam",Mixed Methods Research,"Case study, Literature review, Preliminary study, In-depth study",,Sweco,,"London, Rotterdam",51.9220423,4.4755866,Broad,Abstract too short,hand_2020.pdf,hand_2020.png,Matched,Europe,,
Citizen science for climate adaptation governance in cities,Petra Semjanová,2020.0,Earth Systems Governance,Arjan Wardekker,Dries Hegger,"Climate change poses serious challenges to urban systems and their ability to govern adaptation. The dependence of adaptive capacity of cities on the collective efforts of the public, private and civil society actors highlights the need for exploration of alternative approaches at this interface. This thesis aims to investigate the potential value of one such approach - citizen science - to enhance urban governance capacity for adaptation in the European context. The leading research question was formulated as: How can citizen science contribute to climate adaptation governance in European cities and urban areas? In answering this question, the thesis assessed the impact of nine adaptation related citizen science projects around Europe on the scientific, policy and societal sphere of adaptive governance capacities. The results show that citizen science can significantly contribute to scientific aspects of adaptive governance capacity, while being moderately beneficial to societal aspects and having only low impacts on policy.",How can citizen science contribute to climate adaptation governance in European cities and urban areas?,13 - Climate Action,"The research focuses on enhancing urban governance capacity for climate adaptation, which directly relates to the need for urgent action to combat climate change and its impacts.",Europe,Regional,Governance & Policy,"citizen science, climate change adaptation, urban governance, adaptive capacity",Mixed Methods Research,"Case study, Semi-structured interviews, Desktop analysis",,,,,,,Broad,,semjanova_2020.pdf,semjanova_2020.png,Matched,Europe,,
The influence of apex predators and humans on the occurrence and temporal activity patterns of crop-raiding mammals in southwestern Ethiopia,Merijn de Roos,2023.0,,Ine Dorresteijn,Martin Wassen,"Human activities, such as land-use change, are altering landscapes at the expense of wildlife habitat, resulting in a global loss of biodiversity. This study explores the spatiotemporal activity patterns of crop-raiding mammals, specifically the bushpig and common warthog, and the apex predator leopard in southwestern Ethiopia. Using data from 92 camera traps over 10,894 camera days, generalized linear mixed models were built to model their spatial activity in relation to forest cover, apex predator presence, and human presence. The findings suggest that forest cover positively influences warthog and leopard occurrences, while human activities likely influence the temporal activity of the mammals, indicating a need for improved human-wildlife coexistence.",How do apex predators and human disturbances influence the occurrence and temporal activity patterns of crop-raiding mammals in southwestern Ethiopia?,15 - Life on Land,"This study addresses the conservation of biodiversity and the coexistence of humans and wildlife, which is crucial for sustainable land use and ecosystem health.",Southwestern Ethiopia,Local,Ecology & Biodiversity,"human-wildlife coexistence, crop-raiding mammals, southwestern Ethiopia, spatiotemporal activity patterns",Quantitative Empirical Research,"Generalized linear mixed models, kernel density functions",,,,Ethiopia,12.031883,39.040884,Country,,roos_2023.pdf,roos_2023.png,Matched,Ethiopia,12.031883,39.040884
Closing the Loop,Jonathon Hunt,2020.0,International Development,Janwillem Liebrand,Kei Otsuki,"This research aimed to understand, analyse, and ultimately scrutinise, the government-wide ambitions to transition to a circular economy (CE) in the Netherlands by 2050. Waste management (WM) was identified as a suitable area of study due to its direct link to circular concepts. The research determined alliances and differences of interests among actors as a result of the ongoing transition since 2016. This was achieved by analysing core policy documents and conducting seven interviews with relevant actors. Findings indicated that government ambitions have led to a variety of policies, but progress towards CE is inconsistent, leading to conflicts and a fragmented strategy for WM.",How are circular economic theories and practices guiding waste management policies in the Netherlands?,12 - Responsible Consumption and Production,"The research focuses on waste management and the transition to a circular economy, which directly relates to responsible consumption and production practices.",Netherlands,National,Circular Economy & Production,"Circular Economy, waste management, policy analysis, Sustainability, Netherlands",Qualitative Empirical Research,"Policy analysis, Semi-structured interviews",,,,Netherlands,52.243498,5.634323,Country,,hunt_2020.pdf,hunt_2020.png,Matched,Netherlands,52.243498,5.634323
"Socio-spatial relations of food vending in Harare, Zimbabwe",Sacha Slootheer,2020.0,International Development,Griet Steel,Guus van Westen,"Urban life for lower income residents in cities in Southern Africa brings significant challenges with it, threatening their food security. These challenges are more complex than the lack of availability of food. Instead these relate to the income, spatial and structural factors that characterize the urban (food) system. The socio-economic situation in Zimbabwe, with high inflation, currency issues, and a declining economy has worsened food security in rural and urban areas. Food vendors have been found to be responsive to the challenges faced, specifically in Harare in past crises in the country, and are already feeding low-income households in cities at scale. At the same time, these food vendors are criminalized and subject to policy responses, ranging from neglect to destruction. These policies undermine the access of households to affordable and nutritious food by making food vendor operations more difficult, ultimately worsening food security. This research explores food vendors’ social relations and social manifestations in Harare, discussing what makes vendors responsive to the challenges of urban residents and to the overall context faced in the country. The responses of vendors underscore the agency and resilience of vendors seen in the relations with food provisioning actors, consumers and governance actors. The understanding generated through this analysis aims to contribute to informed policies so that the food vendors’ contribution to food security can be harnessed and enabled.",,2 - Zero Hunger,This SDG applies as the research focuses on food security and the role of food vendors in providing access to affordable and nutritious food for lower income residents in Harare.,"Harare, Zimbabwe",Local,Social Justice & Equity,,Qualitative Empirical Research,,,,,Harare,-17.856703,31.060158,City,Missing Research Question,slootheer_2020.pdf,slootheer_2020.png,Matched,Zimbabwe,-17.856703,31.060158
Multi-stakeholder Initiatives and True Cost Accounting for Sustainable Coffee Production in Colombia,Ba Ying Visser,2020.0,International Development,"Guus van Westen, Meine van der Graaf",Femke van Noorloos,"This thesis investigates the role of multi-stakeholder initiatives and true cost accounting in promoting sustainable coffee production in Colombia. The aim is to analyze how these initiatives can address the challenges faced by the Colombian coffee sector. A qualitative empirical research methodology was employed, including interviews with stakeholders involved in the Futureproof Coffee Collective. The findings reveal that true cost accounting can enhance transparency and accountability in the coffee supply chain, ultimately contributing to more sustainable practices.",How can multi-stakeholder initiatives and true cost accounting contribute to sustainable coffee production in Colombia?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on sustainable practices in coffee production, aiming to reduce negative environmental impacts and promote responsible consumption.",Colombia,Local,Circular Economy & Production,"sustainable coffee production, multi-stakeholder initiatives, true cost accounting, Colombia",Qualitative Empirical Research,Interviews,,MVO Nederland,Futureproof Coffee Collective,Colombia,4.099917,-72.908813,Country,Abstract too short,visser_2020.pdf,visser_2020.png,Matched,Colombia,4.099917,-72.908813
Decarbonisation options for the Dutch dairy processing industry,Joris Pierrot,2020.0,Energy & Materials,Matteo Gazzani,Gert Jan Kramer,"The dairy industry is a major part of the Dutch economy, contributing to 7% of the Dutch trade balance. At the same time, the dairy processing industry is a consumer of large quantities of energy, as the production processes of several dairy products are energy intensive. This study aims to quantify the development of the industry until 2050, looking at possible scenarios regarding volumes and mixes of dairy products. The decarbonisation potential of various options has been determined, including energy-efficiency measures and the use of geothermal energy. The Dutch dairy processing industry can reach full decarbonisation in 2050 at a cost of between EUR 99 million and EUR 185 million, depending on industry development.",What are the feasible decarbonisation options for the Dutch dairy processing industry to achieve carbon neutrality by 2050?,13 - Climate Action,"The study addresses the significant carbon footprint of the dairy processing industry and explores pathways to reduce emissions, aligning with the goal of combating climate change.",Netherlands,National,Energy & Climate,"Decarbonisation, dairy processing, energy efficiency, geothermal energy, electric boilers",Mixed Methods Research,"Scenario analysis, Case study",,PBL Netherlands Environmental Assessment Agency,,Netherlands,52.243498,5.634323,Country,,pierrot_2020.pdf,pierrot_2020.png,Matched,Netherlands,52.243498,5.634323
The Institutionalisation of Climate Justice in the Global Governance Architecture,Karianne K. Taranger,2020.0,,Agni Kalfagianni,Kim Rak,"This thesis examines the institutionalisation of climate justice norms within global climate governance. It aims to identify which norms have gained prominence over time and the implications for climate governance. The methodology employed is a dynamic discourse network analysis of climate justice norms in intergovernmental and transnational institutions from 1991 to 2015. The findings reveal the centrality of certain justice norms and their evolution, providing insights into the effectiveness and legitimacy of global climate governance.",,13 - Climate Action,"The thesis focuses on climate justice norms and their role in global climate governance, directly addressing the need for urgent action to combat climate change and its impacts.",Global,Global/International,Governance & Policy,"Climate Change, climate justice, international norms, global climate change governance architecture, intergovernmental and transnational institutions, network analysis",Qualitative Empirical Research,Dynamic discourse network analysis,,,,,,,Broad,"Missing Research Question, Abstract too short",taranger_2020.pdf,taranger_2020.png,Matched,Global,,
Gender Mainstreaming and Gender Framing in the New European Neighbourhood Policy,,,,Marjanneke Vijge,,"This research analyses the gender mainstreaming and gender framing strategies in the European Union (EU) development programme in the New European Neighbourhood Policy (NENP) through quantitative and qualitative research of policy documents at the different stages of the policy cycle. The objective is to evaluate whether the EU approach can be considered as transformative or integrationist. The results demonstrate that despite higher gender responsiveness of the budget for the last period, the focus remains largely on women. The EU gender approach reveals that gender is perceived as an instrumental tool for economic growth rather than a comprehensive understanding of gender issues. This indicates that there is still much to be done to implement a transformative gender mainstreaming approach effectively.",,,,,,,"Gender equality, gender mainstreaming, frame analysis, European Union, European Neighbourhood, democratic change, good governance, policy coherence for development, civil society organisations.","Qualitative Empirical Research, Quantitative Empirical Research",,,,,,,,,"Missing Research Question, Missing SDG",nan_unknown.pdf,nan_unknown.png,Matched (content),,,
RELEASING THE REUSE REVOLUTION IN THE GLOBAL SOUTH THE TRANSITION OF BUSINESSES FROM SINGLE-USE PLASTIC PACKAGING TO REUSE MODELS AT THE BASE OF THE PYRAMID IN INDONESIA,Wiebe Bor,2020.0,International Development,Femke van Noorloos,Gery Nijenhuis,"With billions of single-use plastics sachets being sold in Indonesia, where waste management is lacking, reuse is needed to solve the plastic waste problem. This research analyses the transition towards reuse at the Base of the Pyramid (BoP) in Indonesia using a Multi-Level Perspective. The transition towards reuse at the BoP is still in a very early phase. Some start-ups are piloting at a small scale, but multinationals have not yet dared to pilot reuse at the BoP. There are several drivers and barriers along the transition dimensions, including safety concerns and market dynamics. Start-ups can pioneer reuse models, but they need the market access and financial power of multinationals.",What are the drivers and barriers for the transition from single-use plastic packaging to reuse models at the Base of the Pyramid in Indonesia?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on transitioning from single-use plastics to reuse models, addressing the plastic waste issue and promoting sustainable consumption practices.",Indonesia,Local,Circular Economy & Production,"reuse, single-use plastics, Base of the Pyramid, Indonesia, transition",Qualitative Empirical Research,Case study,Multi-Level Perspective,Enviu,,Indonesia,-2.483383,117.890285,Country,,bor_2020.pdf,bor_2020.png,Matched,Indonesia,-2.483383,117.890285
All Hands on Deck A Realist Perspective on EU-China Climate Change Cooperation,F.P. (Freek) Terberg,2020.0,,Dr. R.E. (Rakhyun) Kim,Prof. Dr. F.H.B. (Frank) Biermann,"Over the past decades, the EU and China have increasingly cooperated on the topic of climate change. Numerous studies have been carried out that highlight institutionalization and mutual gains as factors contributing to this cooperation. Realism, however, an important theoretical tradition, has often been ignored, which limits our understanding of EU-China climate change cooperation. This thesis aimed to fill this gap, by adjusting Contingent and Offensive Realism, traditionally preoccupied with military power, to the topic of climate change. In doing so, this thesis identified new factors that contributed to the emergence and endurance of EU-China climate change cooperation. It found that uncertainty reducing communication strategies aided the emergence of EU-China climate change cooperation. Furthermore, it uncovered that endurance of said cooperation was due, at least in part, to (a) recognition of climate change as a common threat and (b) recognition of cooperation as necessary to reduce the common threat.",,,,,,,"EU-China, cooperation, Climate Change, contingent realism, uncertainty, offensive realism, common threat, security",Literature-Based Research,"Discourse-Analysis, Hypotheses Testing","Contingent Realism, Offensive Realism",,,,,,Broad,"Missing Research Question, Missing SDG",terberg_2020.pdf,terberg_2020.png,Matched,,,
Mapping carbon of the Dutch industry today and how this can evolve towards circularity.,H. Rutten (Paco),2023.0,Energy & Materials,Prof. dr. Gert Jan Kramer,Dr. Agneev Mukherjee,"The pressure of climate change resulted in national climate policy towards 2050. The Dutch climate agreement mentions that in this period a complex system change for base industries regarding energy and material use is needed to lower emissions, and that the industries must evolve towards circularity. This thesis presents carbon flow models based on material flow analysis methodology for thirteen individual fossil carbon-intensive industries. The models explain the energetic and non-energetic conversion of carbon within industrial processes, and show how carbon ends up in the atmosphere or becomes fixed in products. The mapping of carbon provides a reference point for assessments on the feasibility and consequences of decarbonization directions.",How can the carbon flows of the Dutch industry evolve towards circularity?,12 - Responsible Consumption and Production,"This SDG applies as the thesis focuses on the decarbonization of industries and the transition towards circularity, which are essential for sustainable consumption and production patterns.",Netherlands,National,Circular Economy & Production,"Carbon Flow Model, Substance flow analysis, Decarbonization of industry","Literature-Based Research, Qualitative Empirical Research",Material flow analysis,,,,Netherlands,52.243498,5.634323,Country,,rutten_2023.pdf,rutten_2023.png,Matched (content),Netherlands,52.243498,5.634323
Promoting a Transition to Clean and Inclusive Mobility in the Global South A Socio-Technical Analysis of Public Bike Sharing Systems in São Paolo,Dylan Ahern,2020.0,International Development,Dr. Kei Otsuki,Dr. Abigail Friendly,"This thesis explores the transition to clean and inclusive mobility through a socio-technical analysis of public bike sharing systems in São Paulo. The aim is to understand the dynamics of bike sharing systems and their potential to contribute to sustainable urban mobility. The research employs qualitative empirical methods, including interviews and historical analysis, to investigate the development and challenges of bike sharing in the context of São Paulo's urban landscape. Findings indicate that while bike sharing systems can promote sustainable mobility, they face significant barriers related to urban infrastructure and socio-political factors.",How can public bike sharing systems contribute to a transition towards clean and inclusive mobility in São Paulo?,11 - Sustainable Cities and Communities,This SDG applies as the research focuses on enhancing urban mobility and sustainability through the implementation of bike sharing systems in a major city.,"São Paulo, Brazil",Local,Urban & Regional Development,"Public Bike Sharing Systems, São Paulo, Sustainable Mobility, Socio-Technical Analysis",Qualitative Empirical Research,"Interviews, Historical analysis",Multi-Level Perspective,,,São Paulo,-23.550651,-46.633382,City,Abstract too short,ahern_2020.pdf,ahern_2020.png,Matched,Brazil,-23.550651,-46.633382
