Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Total Electricity Demand Coverage with Solar Energy Systems in La Guajira-Colombia. A techno-economic case study.,Carlos Mario Bolivar Pimienta,2020.0,Wilfried van Sark,Jesús Rosales Carreón,"This thesis investigates the potential for solar energy systems to meet total electricity demand in La Guajira, Colombia. The aim is to assess the techno-economic feasibility of implementing large-scale solar PV systems in the region. A combination of electricity demand forecasting and economic assessment methods are employed to analyze the viability of solar energy solutions. The findings indicate that solar energy can significantly contribute to meeting the electricity demand in La Guajira, with various scenarios demonstrating different levels of cost-effectiveness and efficiency.","How can solar energy systems cover the total electricity demand in La Guajira, Colombia?",7 - Affordable and Clean Energy,"This study directly addresses the need for affordable and clean energy solutions in a region with significant solar potential, contributing to the achievement of SDG 7.","La Guajira, Colombia",Local,Energy & Climate,"Solar Energy, Electricity Demand, Techno-economic Assessment, La Guajira, Colombia",Quantitative Empirical Research,"Electricity demand forecasting, Techno-economic analysis",,,,La Guajira,11.435412,-72.900216,Broad,Abstract too short,pimienta_2020.pdf,pimienta_2020.png,Matched,Colombia,11.435412,-72.900216
Hotspot testing of a shade resilient smart photovoltaic panel,Boyd Beerling,2022.0,Wilfried van Sark,Vinzenz Koning,"To be able to prevent some future natural disasters for nature, wildlife and humans reduction of greenhouse gases is needed as these are the source of human-induced climate change. The energy sector is one of the main emitters of the two most important greenhouse gases: methane and CO2. Electricity for buildings and the industry are large sources of these. Solar photovoltaic is an interesting alternative and renewable option for electricity production. However, hotspots from partial-shading are currently a major problem for PV panels as these lower electricity problems and can result in damage of the panel. This research tests a proposed alternative PV panel structure optimized per group of ten cells. Two setups were made to compare results. A total of 10 hotspots were found in the conventional setup, while no hotspots were found in the smart PV panel tests, indicating its resilience under indoor conditions.",How does the proposed smart photovoltaic panel structure perform in terms of hotspot resilience compared to conventional PV panels under controlled testing conditions?,13 - Climate Action,"This research addresses the reduction of greenhouse gas emissions through innovative solar technology, contributing to climate change mitigation efforts.",,Local,Energy & Climate,,Qualitative Empirical Research,"Infrared imaging, Data collection",,,,,,,Broad,,beerling_2022.pdf,beerling_2022.png,Matched,,,
Environmental Impact Assessment of Transport Infrastructure Transformation Projects: A Case Study of the Utrecht Science Park,Benthe Vermaas,2022.0,Jesús Rosales Carreón,Sara Mirbagheri Golroodbari,"Keeping urban areas accessible and attractive under the stress of population growth, while also facilitating the mitigation of climate change and achieving climate goals, is an urgent and complicated challenge. The Utrecht Science Park (USP) currently faces this challenge, having made plans to transform its transport infrastructure. Consequentially, this study aims to develop a model that can assess the environmental impact of the USP transport infrastructure transformation project and that provides an evaluation of possible mitigation measures. Following the methodological steps of environmental impact assessment, the Transport Infrastructure Project Environmental Assessment (TIPEA) model was developed. The application of the TIPEA model to the USP transformation project has led to two important conclusions regarding the environmental impact and mitigation measures.",How can the environmental impact of the transport infrastructure transformation project at the Utrecht Science Park be assessed and mitigated?,11 - Sustainable Cities and Communities,The study addresses the urgent need for sustainable urban development and the mitigation of climate change impacts in urban areas.,"Utrecht, Netherlands",Local,Urban & Regional Development,"Environmental Impact Assessment, Transport Infrastructure, Utrecht Science Park, TIPEA Model, Mitigation Measures","Literature-Based Research, Qualitative Empirical Research","Environmental Impact Assessment, Life Cycle Assessment",,LBP|SIGHT,,Utrecht,52.090701,5.121563,City,,vermaas_2022.pdf,vermaas_2022.png,Matched,Netherlands,52.090701,5.121563
Distribution tariff design considering electric vehicle loads,Sam van Oorschot,2022.0,"Elena Fumagalli, Nico Brinke",Wouter Schram,"This thesis investigates the impact of electric vehicle (EV) adoption on distribution networks and explores price-based incentives to mitigate congestion issues caused by EV charging. The objective is to assess two proposed grid tariff designs: a capacity subscription model (CAP+) and dynamic day-ahead tariffs. A perfect information model was developed to analyze the cost-wise behavior of charging point operators (CPOs) under these tariff structures. The findings indicate that while the CAP+ model can alleviate some transformer overloading, dynamic tariffs are more effective in optimizing network use and reducing costs. Regulatory considerations also play a crucial role in the implementation of these tariff designs.",How can the restructuring of distribution grid tariffs mitigate the adverse effects of electric vehicle charging on distribution networks?,11 - Sustainable Cities and Communities,"The research addresses the challenges posed by electric vehicle adoption on urban distribution networks, aiming to create sustainable solutions for urban mobility.",Netherlands,National,Energy & Climate,"Electric vehicle, distribution tariff, capacity subscription, dynamic tariffs, congestion management",Quantitative Empirical Research,"Mathematical formulation, Case study, Scenario analysis",,Stedin,,,52.243498,5.634323,Broad,,oorschot_2022.pdf,oorschot_2022.png,Matched,Netherlands,52.243498,5.634323
CO Capture from Steel Gases ‒ using Pressure Swing Adsorption model in Aspen AdsorptionTM,Saima Wasefi,2022.0,Matteo Gazzani,Wina Crijns-Graus,"This thesis investigates carbon dioxide (CO2) capture from steel mill gases using Pressure Swing Adsorption (PSA). The aim is to establish benchmark performance metrics for a PSA unit designed to capture CO2 from a mixture of blast furnace gas and basic oxygen furnace gas. The PSA model was developed using Aspen Adsorption software, validated with literature data, and optimized through extensive parameter studies. The results indicate that the system can capture 1.9 million tonnes of CO2 annually with a recovery rate of 84% and a purity of 94%. This research contributes to mitigating CO2 emissions in the iron and steel industry, which is a significant contributor to global emissions.",What are the benchmark performance metrics for a Pressure Swing Adsorption unit capturing CO2 from steel mill gases?,13 - Climate Action,"The research addresses the urgent need to reduce CO2 emissions from the iron and steel industry, which is a major contributor to global greenhouse gas emissions.","IJmuiden, Netherlands",Local,Energy & Climate,"CO2 capture, Pressure Swing Adsorption, steel gases, Aspen Adsorption, zeolite 13X",Mixed Methods Research,"Model validation, Parameter study, Dynamic simulation",,Tata Steel Nederland,Tata Steel Nederland,Ijmuiden,52.457414,4.611621,City,,wasefi_2022.pdf,wasefi_2022.png,Matched,Netherlands,52.457414,4.611621
Energy Prices Affecting Construction,Harm Jaap Tsjitse de Jong,2022.0,Martin Junginger,Ernst Worrell,"This thesis investigates the impact of fluctuating energy and CO2 prices on material costs for concrete and timber dwellings. The objective is to analyze how these price fluctuations influence the overall costs of construction materials. A case study approach is employed, focusing on energy and CO2 analysis, cost calculations, and impact analysis. The findings reveal significant differences in material costs between concrete and timber constructions, highlighting the importance of energy prices in the construction sector.",To what extent do fluctuating energy and CO2 prices affect material costs for a concrete versus a timber dwelling?,"9 - Industry, Innovation and Infrastructure","This research contributes to understanding the economic implications of energy prices on construction materials, which is essential for promoting sustainable industrial practices.",Netherlands,National,Circular Economy & Production,"Energy, CO2, Construction, Timber, Concrete, Costs, Impact Analysis",Mixed Methods Research,"Case study, Cost analysis, Energy, CO2 analysis, Monte Carlo Simulation",,Bouwgroep Dijkstra Draisma (BGDD),,Netherlands,52.243498,5.634323,Country,Abstract too short,jong_2022.pdf,jong_2022.png,Matched,Netherlands,52.243498,5.634323
The Impact of Heat Load on the Business Case of a New District Heating System in the Netherlands,Willem van Rossum,2022.0,"Wen Liu, Nico Hoogervorst",Robert Harmsen,"This thesis investigates the impact of heat load on the business case for a new district heating system in the Netherlands. The aim is to provide insights that can facilitate the transition to sustainable heating solutions. A mixed methods approach is employed, combining scenario analysis and Monte Carlo uncertainty analysis to evaluate different heat strategies. The findings indicate that varying heat loads significantly influence the economic viability of district heating systems, highlighting the importance of accurate load forecasting in planning.",How does heat load impact the business case of a new district heating system in the Netherlands?,7 - Affordable and Clean Energy,"This research contributes to the understanding of sustainable energy systems, specifically in the context of district heating, which is essential for achieving affordable and clean energy.",Netherlands,National,Energy & Climate,"District Heating, Heat Load, Business Case, Monte Carlo Analysis, Scenario Analysis",Mixed Methods Research,"Scenario analysis, Monte Carlo uncertainty analysis",,PBL Netherlands Environmental Assessment Agency,,Netherlands,52.243498,5.634323,Country,Abstract too short,rossum_2022.pdf,rossum_2022.png,Matched,Netherlands,52.243498,5.634323
Assessment of smart grid implementations at business parks in the Netherlands,Stijn Maatman,2022.0,Madeleine Gibescu,Ard Lammertink,"The energy transition in the Netherlands is developing rapidly. Business parks aim to contribute by utilizing their roofs for solar installations, but stumble upon the more frequently occurring phenomenon of grid congestion. To make the electricity grid efficient, the implementation of a smart grid seems promising. However, little is known on the stakeholder specific effects of implementing a smart grid. This research employs a sequential mixed methods approach to establish a utility score for stakeholders across 180 configurations. Interviews and surveys retrieve criteria for assessment, which are classified into qualitative and quantitative criteria. The results indicate that implementing a smart grid is beneficial for stakeholders, with significant utility gains from cost or connection capacity minimization.",What is the effect of implementing smart grid business park configurations on the utility of the involved stakeholders?,7 - Affordable and Clean Energy,"The research focuses on improving energy efficiency and integrating renewable energy sources through smart grid implementations, which aligns with the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.",Netherlands,National,Energy & Climate,"smart grid, business parks, stakeholder utility, Energy transition, grid congestion",Mixed Methods Research,"Interviews, Survey, Multi criteria analysis, Mixed integer linear programming model",,,,Netherlands,52.243498,5.634323,Country,,maatman_2022.pdf,maatman_2022.png,Matched,Netherlands,52.243498,5.634323
The role of interconnection and storage for the integration of renewable energy in the Netherlands,Sander Meerman,2022.0,Madeleine Gibescu,,"This research addresses the integration of variable renewable energy sources in the Netherlands, focusing on the role of interconnection and storage. The objective is to assess how these elements can facilitate the transition to a more sustainable energy system. A linear optimal energy system model is employed to evaluate the impacts of expanding electricity and hydrogen transmission networks. The findings indicate that the degree of hydrogen storage necessary for integrating renewables, particularly offshore wind, is influenced by geographical location and demand electrification rates.","What system design choices, regarding inter-connectivity and storage, can contribute towards the integration of variable energy sources in the Dutch energy system, in the year 2030 and 2040?",7 - Affordable and Clean Energy,"The research contributes to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all by exploring the integration of renewable energy sources in the Dutch energy system.",Netherlands,National,Energy & Climate,"interconnection, storage, Renewable Energy, Netherlands, energy system modeling",Quantitative Empirical Research,Energy system modeling,,Guidehouse,,Netherlands,52.243498,5.634323,Country,Abstract too short,meerman_2022.pdf,meerman_2022.png,Matched,Netherlands,52.243498,5.634323
Investigation of the potential for PV energy supply to reach net energy neutrality in the railway infrastructure by 2030,Niek Bouw,2022.0,"Wina Crijns-Graus, I. Kluts",Robert Harmsen,"This thesis investigates the potential for photovoltaic (PV) energy supply to achieve net energy neutrality in the railway infrastructure by 2030, focusing on ProRail in the Netherlands. The aim is to assess energy demand scenarios and the technical and techno-economic potential of PV technology. A mixed methods approach is employed, including data collection and analysis, SWOT analysis, and case studies. The findings indicate that significant advancements in energy efficiency and the implementation of PV technology can lead to substantial reductions in energy consumption and a pathway towards energy neutrality.",How can photovoltaic energy supply contribute to achieving net energy neutrality in the railway infrastructure by 2030?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on enhancing the use of renewable energy sources, specifically photovoltaic energy, to meet the energy needs of railway infrastructure sustainably.",Netherlands,National,Energy & Climate,"Photovoltaic, Energy neutrality, ProRail, Railway infrastructure, Renewable Energy",Mixed Methods Research,"Data collection, Data analysis, SWOT analysis, Case study",,Movares,ProRail,Netherlands,52.243498,5.634323,Country,Abstract too short,bouw_2022.pdf,bouw_2022.png,Matched,Netherlands,52.243498,5.634323
Performance Analysis of PV Systems in the Built Environment: a Case Study from a High Rise Building,Ing. Alice Hartog,2022.0,"Ioannis Lampropoulos, Eelke Bontekoe",Wilfried van Sark,"Worldwide energy consumption and the related GHG emissions have a significant environmental impact, and 33% come from the residential sector. Research is focusing on energy efficient buildings that produce renewable energy for their self-sufficiency using BIPV systems. The work investigates the performance of the case study, where PV modules have been installed on roof, walls and balconies, having different characteristics. In order to perform this analysis, a program has been coded using MS Access, a DBMS where code is written in Visual Basic and SQL and data are stored into relational DB. The program automatically recognizes data and, through a Graphical User Interface where data can be filtered or grouped, it creates a new Excel file with the results.","“What factors must be considered during the performance assessment of a (BI)PV system, and what is their impact?” ",7 - Affordable and Clean Energy,This SDG applies as the research focuses on improving energy efficiency and promoting renewable energy sources in residential buildings.,,Local,Energy & Climate,"BIPV performance, energy efficiency, PV system, residential retrofitting, Net Zero Energy Building",Mixed Methods Research,,,,,,,,Broad,Missing Research Question,hartog_2022.pdf,hartog_2022.png,Matched,,,
Irrationality in Energy Retrofits,Wessel Poorthuis,2022.0,Wen Liu,Vinzenz Koning,The heat transition in the Dutch built environment is lagging behind the goals set by the Dutch government. One of the operations in the heat transition is the retrofitting of dwellings with sustainable heating installations and insulation. This thesis examines the influence of cognitive biases on the outcomes of the decision-making process of Dutch homeowners concerning investments in home energy retrofits. The research incorporates cognitive biases included in Prospect Theory into the built environment model Hestia. The findings indicate that cognitive biases decrease the number and ambition of investments into sustainable heating technologies and insulation.,What is the influence of cognitive biases on the outcomes of the energy retrofit related decision-making process of Dutch homeowners?,13 - Climate Action,"The research addresses the energy transition and the retrofitting of homes, which are critical for achieving climate goals.",Netherlands,National,Energy & Climate,"cognitive biases, energy retrofits, Prospect Theory, decision-making, homeowners",Mixed Methods Research,"Simulation runs, Parameter sweeps",Prospect Theory,PBL Netherlands Environmental Assessment Agency,,,52.243498,5.634323,Broad,Abstract too short,poorthuis_2022.pdf,poorthuis_2022.png,Matched,Netherlands,52.243498,5.634323
Comparing hydrogen networks and electricity grids for transporting offshore wind energy to shore in the North Sea region. A spatial network optimisation approach.,Steffan Brosschot,2022.0,"Gert Jan Kramer, Jan Wiegner",,"In the North Sea (NS), offshore wind farm (OWF) capacity is expected to explode in the coming years to support decarbonisation goals. To bring these vast amounts of energy to shore, offshore hydrogen production and transportation to shore via pipelines is seen to be a plausible solution. This research builds on previous literature and addresses the effects of spatial complexity and reuse of oil & gas (O&G) infrastructure on networks, the properties of a fully interconnected NS network, and a comparison between hydrogen networks and electricity grids. A three-part model was devised to create cost surfaces, generate candidate networks, and find optimal network layouts. The results show that including spatial complexity increases capacity-lengths significantly and reusing infrastructure leads to substantial cost savings.",How do hydrogen networks compare to electricity grids for transporting offshore wind energy to shore in the North Sea region?,7 - Affordable and Clean Energy,"This research focuses on optimizing energy transport solutions, specifically for offshore wind energy, which directly contributes to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.",North Sea,Regional,Energy & Climate,"hydrogen networks, electricity grids, offshore wind energy, spatial network optimisation, North Sea",Mixed Methods Research,"Cost surface model, Candidate networks model, Optimal network layout",,TNO,,North Sea,56.0026997,2.8144673,Broad,,brosschot_2022.pdf,brosschot_2022.png,Matched,Multi-region,,
Building a bridge between the Climate Agreement and actual energy savings in the Dutch retail sector,Hanna Jonker,2022.0,Robert Harmsen,,"This thesis explores the gap between the Climate Agreement and energy savings in the Dutch retail sector. The aim is to identify drivers and barriers affecting energy consumption and to propose actionable strategies for improvement. A mixed methods approach is employed, combining quantitative data analysis with qualitative insights from industry stakeholders. The findings reveal significant potential for energy savings through targeted policy interventions and enhanced awareness among retailers.",How can the Dutch retail sector effectively bridge the gap between the Climate Agreement and actual energy savings?,13 - Climate Action,"This SDG applies as the research focuses on energy savings and climate policy implementation within the retail sector, contributing to climate action efforts.",Netherlands,National,Energy & Climate,"Energy savings, Retail sector, Climate Agreement, Policy analysis, Barriers, Drivers",Mixed Methods Research,"Trend analysis, Decomposition analysis, Sensitivity analysis, Driver, barrier evaluation",,,,Netherlands,52.243498,5.634323,Country,Abstract too short,jonker_2022.pdf,jonker_2022.png,Matched,Netherlands,52.243498,5.634323
